trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,14:20:00,14:20:00,AK_10000,1,,0,0,0.0000000,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,14:44:00,14:44:00,AK_10001,2,,0,0,22016.8949006,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,15:03:00,15:03:00,AK_10002,3,,0,0,71774.0933771,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,15:45:00,15:45:00,AK_10003,4,,0,0,178100.1668380,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,16:00:00,16:00:00,AK_10004,5,,0,0,308272.8117816,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,16:20:00,16:20:00,AK_10005,6,,0,0,476130.1834573,0
6874cb4f-f0fa-4b9f-a03b-1df41f47059f,16:50:00,16:50:00,AK_10006,7,,0,0,687297.2871789,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,15:15:00,15:15:00,AK_10000,1,,0,0,0.8100709,
6a91f3a8-0348-439a-ac06-bb6a87b731ca,15:39:00,15:39:00,AK_10001,2,,0,0,22301.3482504,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,15:58:00,15:58:00,AK_10002,3,,0,0,52024.5870560,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,16:40:00,16:40:00,AK_10003,4,,0,0,109906.6940211,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,16:55:00,16:55:00,AK_10004,5,,0,0,135368.7933236,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,17:15:00,17:15:00,AK_10005,6,,0,0,175513.0583429,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,17:45:00,18:00:00,AK_10006,7,,0,0,219396.5680526,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,18:24:00,18:24:00,AK_10007,8,,0,0,244688.7930423,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,18:50:00,18:50:00,AK_10008,9,,0,0,276358.4895772,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,19:10:00,19:10:00,STOP_1473500,10,,0,0,304350.1984349,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,20:24:00,20:24:00,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,11,,0,0,358696.4908421,0
6a91f3a8-0348-439a-ac06-bb6a87b731ca,20:48:00,20:48:00,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,12,,0,0,375144.5603044,0
700e4098-3e57-4e4d-9fbd-166433cda81e,06:50:00,06:50:00,STOP_1473715,1,,0,0,0.0000000,0
700e4098-3e57-4e4d-9fbd-166433cda81e,07:25:00,07:25:00,AK_10020,2,,0,0,29105.1355863,0
700e4098-3e57-4e4d-9fbd-166433cda81e,07:41:00,07:41:00,AK_10019,3,,0,0,62859.8432015,0
700e4098-3e57-4e4d-9fbd-166433cda81e,08:36:00,08:36:00,AK_10018,4,,0,0,178770.2369731,0
700e4098-3e57-4e4d-9fbd-166433cda81e,09:56:00,09:56:00,AK_10017,5,,0,0,411746.7393907,0
700e4098-3e57-4e4d-9fbd-166433cda81e,10:36:00,10:36:00,AK_10016,6,,0,0,703208.6867264,0
700e4098-3e57-4e4d-9fbd-166433cda81e,10:51:00,10:51:00,AK_10015,7,,0,0,1013181.0023979,0
700e4098-3e57-4e4d-9fbd-166433cda81e,11:52:00,11:52:00,STOP_1473616,8,,0,0,1405678.1759718,0
700e4098-3e57-4e4d-9fbd-166433cda81e,12:20:00,12:20:00,AK_10007,9,,0,0,1822144.5365396,0
700e4098-3e57-4e4d-9fbd-166433cda81e,12:50:00,13:05:00,AK_10006,10,,0,0,2257451.3334947,0
700e4098-3e57-4e4d-9fbd-166433cda81e,13:30:00,13:30:00,AK_10005,11,,0,0,2696784.1093970,0
700e4098-3e57-4e4d-9fbd-166433cda81e,13:50:00,13:50:00,AK_10004,12,,0,0,3134628.4392158,0
700e4098-3e57-4e4d-9fbd-166433cda81e,14:10:00,14:10:00,AK_10003,13,,0,0,3582003.1675469,0
700e4098-3e57-4e4d-9fbd-166433cda81e,14:50:00,14:50:00,AK_10002,14,,0,0,4058031.3806705,0
700e4098-3e57-4e4d-9fbd-166433cda81e,15:11:00,15:11:00,AK_10001,15,,0,0,4546641.3359385,0
700e4098-3e57-4e4d-9fbd-166433cda81e,15:45:00,15:45:00,AK_10000,16,,0,0,5040090.8506886,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,22:45:00,22:45:00,AK_10000,1,,0,0,1.3191858,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,23:26:00,23:26:00,AK_10002,2,,0,0,51617.1098271,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,24:08:00,24:08:00,AK_10003,3,,0,0,111084.2468949,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,24:23:00,24:23:00,AK_10004,4,,0,0,135990.3170453,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,24:43:00,24:43:00,AK_10005,5,,0,0,175595.6511344,0
78ccb83c-3a3d-4fa1-aca9-e756e7106751,25:15:00,25:15:00,AK_10006,6,,0,0,219616.8929777,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,14:10:00,14:10:00,AK_10006,1,,0,0,0.0000000,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,14:35:00,14:35:00,AK_10005,2,,0,0,43311.4107660,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,14:55:00,14:55:00,AK_10004,3,,0,0,125177.0133281,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,15:10:00,15:10:00,AK_10003,4,,0,0,230344.0930456,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,15:50:00,15:50:00,AK_10002,5,,0,0,392000.7478909,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,16:11:00,16:11:00,AK_10001,6,,0,0,581907.5892789,0
89df68ff-d366-48b1-b791-3d1c6faf8f9d,16:45:00,16:45:00,AK_10000,7,,0,0,793074.6930004,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,17:47:00,17:47:00,AK_10000,1,,0,0,1.3191858,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,18:32:00,18:32:00,AK_10002,2,,0,0,51617.1098271,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,19:22:00,19:22:00,AK_10003,3,,0,0,111084.2468949,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,19:37:00,19:37:00,AK_10004,4,,0,0,135990.3170453,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,19:57:00,19:57:00,AK_10005,5,,0,0,175595.6511344,0
8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,20:20:00,20:20:00,AK_10006,6,,0,0,219616.8929777,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,11:10:00,11:10:00,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,1,,0,0,0.0000000,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,11:29:00,11:29:00,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,2,,0,0,16444.9729461,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,12:25:00,12:25:00,STOP_1473500,3,,0,0,70792.1285838,0
8ea07b86-6495-4411-89dd-cd6fef8d3dbf,12:46:00,12:46:00,AK_10008,4,,0,0,98783.5313927,0
